"zip","sqft","price"
95838,836,59222
95823,1167,68212
95815,796,68880
95815,852,69307
95824,797,81900
95841,1122,89921
95842,1104,90895
95820,1177,91002
95670,941,94905
95673,1146,98937
95838,909,100309
95823,1289,106250
95815,871,106852
95822,1020,107502
95842,1022,108750
95842,1134,110700
95673,844,113263
95621,795,116250
95833,588,120000
95673,1356,121630
95621,1118,122000
95823,1329,122682
95660,1240,123000
95834,1601,124100
95660,901,125000
95843,1088,126640
95820,963,127281
95832,1119,129000
95827,1380,131200
95828,1248,132000
95758,1039,133000
95660,1152,134555
95827,1380,136500
95626,1116,138750
95758,1039,141000
95823,1418,146250
95660,1082,147308
95823,1472,148750
95828,1146,149593
95825,760,150000
95835,1304,152000
95822,1207,154000
95624,1056,156896
95843,1043,161250
95660,1587,161500
95833,1120,164000
95823,1580,165000
95823,1955,166357
95838,1656,166357
95823,1477,168000
95624,1188,170000
95828,1590,173000
95823,1463,174250
95828,1714,174313
95823,1185,178480
95632,1406,178760
95842,1943,179580
95826,1172,181000
95608,1152,181872
95823,1851,182587
95843,1215,182716
95632,1130,182750
95662,1603,183200
95632,1479,188741
95823,1420,189000
95826,1280,192067
95758,1586,194000
95843,1362,194818
95828,2162,195000
95823,1266,198000
95624,1715,199500
95630,1820,200000
95608,936,200000
95834,0,206000
95834,1511,208000
95823,1590,212864
95758,1596,221000
95835,1341,221000
95624,2136,223058
95624,1616,227887
95823,1478,231477
95670,1287,234697
95621,1277,235000
95833,1448,236000
95829,2235,236685
95655,2093,237800
95673,1193,240122
95757,2163,242638
95828,1269,244000
95833,0,244500
95828,958,244960
95624,2508,245918
95621,1305,250000
95758,1591,250000
95608,1326,250134
95757,1843,254200
95841,1921,254200
95758,2790,258000
95835,1541,260000
95820,1018,260014
95742,0,263500
95834,1672,265000
95726,1380,265000
95822,975,271742
95829,2372,273750
95822,1446,275086
95726,1284,280908
95832,3009,280987
95826,3612,282400
95758,2056,285000
95624,1993,287417
95757,1857,291000
95818,1126,292024
95827,2213,297000
95758,2494,297000
95757,1843,298000
95670,1520,299000
95835,2800,304037
95624,2309,311000
95827,2367,315537
95742,3516,320000
95742,0,320000
95826,1914,328360
95662,1690,334150
95757,2725,335750
95757,2354,335750
95833,0,339500
95630,2185,344250
95758,1801,346210
95823,1961,347029
95757,3134,347650
95823,1915,351300
95762,0,352000
95831,0,370000
95683,2734,370500
95693,2110,372000
95757,3164,375000
95835,3599,381300
95831,2054,381942
95843,1830,387731
95814,1627,391000
95757,3440,394470
95635,2846,395000
95624,2359,400186
95831,2052,415000
95757,3433,425000
95742,3615,430000
95624,0,445000
95630,2687,460000
95757,2724,461000
95757,3440,489332
95757,3508,510000
95630,2462,539000
95630,0,585000
95762,0,600000
95762,0,606238
95864,2325,660000
95762,0,830000
95621,795,69000
95817,1099,70000
95624,840,71000
95815,800,78000
95824,746,78400
95822,1067,80000
95815,1316,89000
95815,1337,90000
95824,868,90000
95824,924,92000
95820,610,93675
95683,0,97750
95815,1220,98000
95758,722,98000
95864,1643,99000
95758,722,100000
95632,1080,106716
95820,1039,111000
95660,1051,111000
95842,967,114800
95670,1098,120108
95824,1050,123225
95838,1110,123750
95660,888,125000
95822,1120,125000
95626,1080,126000
95660,957,129000
95838,952,134000
95838,1211,135000
95815,1264,135500
95833,1080,140000
95632,1266,140000
95628,994,142500
95834,1202,143500
95758,0,145000
95820,722,145000
95828,1448,145000
95828,1188,145000
95660,1183,146000
95822,1320,148500
95828,1117,149000
95828,1364,150000
95823,1310,150000
95758,1006,152000
95621,1104,156000
95825,810,156000
95624,1123,156000
95842,904,157788
95621,1156,161653
95820,1321,161829
95843,1392,165000
95823,1439,168000
95842,1159,169000
95670,1671,175000
95823,1740,176250
95823,1265,179000
95843,1007,180000
95758,1716,180400
95758,1685,182000
95670,1829,184500
95758,1555,185000
95608,1120,189000
95621,1137,194000
95826,1174,195000
95843,1393,200000
95682,0,201000
95648,0,202500
95828,1289,205000
95838,1799,205000
95667,0,205000
95823,1953,205000
95820,723,207000
95682,0,210000
95667,948,211500
95621,1578,215000
95610,1317,215000
95833,0,215500
95824,1360,222381
95825,0,225000
95833,1522,225000
95825,1751,225000
95624,1465,225000
95826,1605,228000
95673,1475,229665
95722,1216,230000
95628,1315,230000
95757,1567,230000
95835,1776,234000
95835,2187,235000
95822,1291,236250
95630,0,240000
95624,0,242000
95842,1503,245000
95828,2491,245000
95816,1269,245000
95835,0,250000
95662,1176,250000
95662,1456,250000
95678,1498,250000
95843,1574,255000
95610,2085,256054
95829,2170,257729
95758,1595,260000
95843,1567,261000
95648,0,261800
95822,1253,264469
95843,1768,265000
95835,0,270000
95835,2030,270000
95835,1531,270000
95834,0,270000
95624,1653,275000
95758,2056,275000
95624,2494,280000
95628,1450,286013
95834,2169,292000
95747,1440,292000
95628,1527,293993
95678,1401,294000
95838,1411,296769
95648,0,297500
95670,0,300000
95673,1284,300000
95632,2307,300000
95667,1329,300000
95835,1910,300500
95670,1981,305000
95747,0,306500
95835,0,312500
95648,0,315000
95823,2205,319789
95648,1449,330000
95630,1258,330000
95757,2575,331000
95820,539,334000
95670,2208,336000
95819,1108,339000
95630,1595,339000
95632,2159,345000
95667,2295,350000
95678,1838,356000
95823,1900,361745
95811,1718,361948
95757,3389,370000
95677,0,380000
95757,3260,385000
95682,2016,399000
95765,2607,402000
95757,2724,406026
95632,3746,420000
95742,0,425000
95683,3192,425000
95834,0,433500
95648,0,436746
95762,0,438700
95811,1247,445000
95630,2581,450000
95841,2068,460000
95762,0,460000
95624,3992,460000
95835,3397,465000
95835,3881,471750
95765,0,480000
95608,1598,484000
95667,1929,485000
95757,3070,495000
95678,0,500500
95603,0,504000
95762,0,541000
95693,0,560000
95829,3984,572500
95608,2222,582000
95661,3838,613401
95747,0,614000
95628,2846,680000
95819,2484,699000
95650,1624,839000
95842,840,40000
95825,484,48000
95815,970,61500
95817,623,62050
95820,932,65000
95838,796,65000
95820,834,68000
95820,834,68000
95841,924,77000
95842,795,82732
95838,1250,84000
95820,984,84675
95828,1013,85000
95822,1012,90000
95826,795,90000
95838,918,91000
95838,1082,95000
95842,964,97500
95815,1404,100000
95826,625,100000
95621,888,101000
95815,1120,102750
95660,1331,112500
95821,1014,113000
95820,1448,114000
95838,966,114000
95823,779,114750
95843,836,115000
95678,1100,115000
95832,1174,116100
95660,1207,119250
95828,1995,120000
95820,804,120000
95834,958,120000
95823,1366,120108
95823,901,121500
95815,696,121725
95632,1080,122000
95822,1104,123000
95825,972,125000
95833,1390,125573
95626,1354,126714
95826,795,126960
95678,780,127000
95828,1587,127500
95660,1209,130000
95824,1139,133105
95673,1690,136500
95608,1245,139500
95626,1416,140000
95832,1300,140800
95822,1120,145000
95828,1590,147000
95828,1407,149600
95820,1516,150000
95747,0,150000
95822,1646,150000
95823,1676,155000
95838,1370,155435
95838,1370,155500
95621,1351,158000
95660,1152,158000
95823,1452,160000
95678,990,160000
95621,1162,164000
95673,1182,164000
95758,1112,165000
95632,1100,167000
95621,1280,167293
95621,1280,167293
95820,1039,168000
95842,1159,170000
95833,1917,170000
95827,1520,170000
95632,1204,174000
95841,1120,178000
95823,1436,180000
95826,1451,180000
95828,1638,180000
95608,1000,182000
95661,1152,188325
95747,1154,191500
95838,1353,192000
95621,1329,192700
95826,1356,195000
95838,1505,197654
95842,1009,198000
95823,1144,200345
95864,930,203000
95841,1766,207000
95828,1940,208000
95758,1776,210000
95621,1258,212000
95828,1872,213675
95758,1112,213697
95833,1856,215000
95816,1939,215000
95678,998,215100
95678,1758,217500
95838,2142,218000
95831,950,220000
95758,1739,221000
95624,1516,222900
95843,988,223139
95632,1555,225500
95820,1212,228327
95833,1871,230000
95828,1302,230000
95841,756,230522
95843,2026,231200
95831,1375,232000
95834,1250,232500
95822,1058,233641
95843,1187,234000
95831,1324,234500
95828,1936,235000
95670,2382,236000
95630,1427,236073
95835,1678,238000
95632,1798,238861
95843,2652,239700
95829,1816,240000
95834,3076,240000
95758,1844,241000
95823,1306,245000
95833,2447,246000
95828,1176,247234
95673,1182,247480
95673,1160,249862
95835,1424,251000
95662,1574,252155
95843,1830,254172
95624,1724,258000
95603,1255,260000
95758,0,261000
95835,2175,261000
95835,1904,261000
95762,1808,262500
95742,2711,266000
95608,1713,266000
95757,1457,270000
95757,2724,274425
95765,0,274500
95828,1468,275336
95835,2550,277980
95632,1928,280000
95814,1922,284686
95621,1343,284893
95677,1510,285000
95603,960,285000
95608,1559,285000
95623,1624,289000
95832,2992,295000
95758,2109,296000
95670,1524,296056
95828,1248,297359
95823,1876,299940
95648,0,304000
95670,1851,305000
95747,0,307000
95835,2218,311328
95828,1394,313138
95828,1410,316630
95758,3468,320000
95843,2346,320000
95843,2347,325000
95834,1659,328578
95757,2442,331000
95742,0,331500
95833,2155,340000
95838,0,344755
95828,1810,345746
95757,2789,351000
95632,1606,353767
95632,0,355000
95835,2166,356035
95816,0,360000
95835,1871,360552
95835,1800,362305
95817,1683,365000
95678,0,367554
95747,0,368500
95765,1596,370000
95667,0,371086
95757,1179,378000
95757,0,383000
95818,1639,388000
95742,3281,395100
95819,1697,400000
95762,0,400000
95843,2085,408431
95765,0,413000
95815,1744,416767
95762,0,420000
95630,1939,423000
95682,0,423000
95814,1788,427500
95765,1691,430922
95758,2002,445000
95757,4303,450000
95834,4246,452000
95661,2274,470000
95762,0,471000
95662,3056,475000
95758,2503,484500
95762,0,487500
95677,0,488750
95630,1905,500000
95663,1320,506688
95648,0,512000
95747,0,520000
95670,3037,528000
95693,3741,579093
95630,2660,636000
95608,3357,668365
95746,2896,676200
95667,2025,677048
95693,3788,691659
95746,3670,760000
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95648,0,4897
95621,1166,30000
95673,0,30000
95823,838,55422
95660,904,63000
95815,1032,65000
95838,904,65000
95817,1080,65000
95822,990,66500
95838,900,71000
95824,861,75000
95823,906,77000
95815,1011,85000
95823,1089,95625
95815,832,96140
95822,800,104250
95842,1292,105000
95822,810,108000
95838,1064,109000
95670,911,115000
95835,846,115000
95827,1320,115500
95838,1410,115620
95670,1115,116000
95822,1169,122000
95822,1164,122500
95823,1341,123000
95838,1219,124000
95842,1127,124000
95660,1272,124413
95822,1253,125000
95828,1120,130000
95660,1118,131750
95838,1890,137721
95833,1260,137760
95823,1400,138000
95821,1264,140000
95824,1060,145000
95828,1132,145000
95823,1466,150000
95827,1092,150000
95828,1628,151000
95842,960,155000
95621,1075,155800
95826,1428,156142
95828,1358,158000
95828,2475,159900
95610,1410,160000
95843,1711,161500
95826,1483,161600
95632,1140,162000
95828,1549,165000
95828,1410,165000
95758,1240,167293
95842,1712,168000
95823,1580,168000
95843,1669,168750
95826,1029,168750
95621,1103,170000
95828,2161,170250
95823,1650,173000
95726,1320,175000
95826,1200,176095
95835,1170,176250
95621,1199,178000
95823,1695,179000
95670,1157,180000
95838,1410,180000
95678,1174,180000
95823,1593,181000
95673,1093,182000
95678,1770,182587
95822,1436,185074
95829,1124,185833
95826,1139,186785
95832,1638,187000
95833,1328,188335
95758,1273,190000
95838,1082,190000
95827,1578,190000
95661,796,190000
95823,1386,191250
95670,1452,193000
95823,1513,193500
95631,0,194818
95842,1578,195000
95610,1736,195000
95682,0,195000
95821,1473,195000
95820,1150,198000
95833,1127,199900
95628,1144,200000
95608,972,201000
95758,2306,204918
95843,1479,205000
95623,1040,205000
95838,1430,205878
95832,1800,207000
95843,1953,207744
95835,1120,209000
95834,1232,210000
95835,984,210944
95678,0,212500
95758,2329,213750
95758,1351,215000
95682,0,215000
95661,1376,215000
95619,1300,216033
95825,1566,220000
95817,1115,220000
95818,1032,220000
95621,1419,220000
95757,1261,220000
95608,1637,220702
95825,1776,221250
95758,1338,222000
95757,0,222500
95624,2254,222750
95834,1441,225000
95838,1991,225000
95829,2126,228750
95624,1094,229000
95677,1462,230095
95834,2258,232500
95670,1074,233000
95624,2111,233500
95835,1686,239000
95843,1915,240000
95624,2367,240000
95823,1962,240971
95670,1406,242000
95829,1789,243450
95835,1876,243500
95843,1235,246544
95843,2504,246750
95834,0,247000
95608,1676,247000
95621,1367,249000
95758,1899,249000
95758,1636,250000
95821,1828,250000
95765,0,250000
95826,1438,252000
95624,1451,255000
95825,1520,255000
95747,1506,255000
95835,2605,257200
95662,1196,260000
95648,1621,260000
95835,1811,263500
95757,1540,266510
95648,0,267750
95667,0,270000
95747,0,271000
95762,0,272700
95682,0,275000
95757,1543,275000
95835,2494,276000
95648,1650,276500
95632,2214,278000
95835,2280,279000
95608,1443,280000
95621,1582,280000
95757,1857,285000
95758,1735,288000
95624,2096,289000
95825,1720,290000
95843,2160,290000
95838,1382,293996
95667,0,294000
95624,1721,294173
95650,1328,295000
95624,0,298000
95624,1982,298000
95818,1144,299000
95825,1623,300000
95614,1457,300000
95624,2555,300000
95765,1577,300567
95757,2592,303000
95610,1401,305000
95648,0,306000
95608,1502,310000
95630,1327,310000
95678,1800,310000
95831,2169,311518
95648,2457,312000
95742,0,313000
95662,2004,315000
95678,2212,315000
95843,3134,315000
95864,1360,315000
95765,0,315000
95822,1276,320000
95834,2962,322000
95765,1888,325000
95747,0,325500
95678,0,326951
95632,1548,328370
95648,0,330000
95670,2109,330000
95827,2484,331200
95834,2258,332000
95835,2212,334000
95662,1616,335000
95835,2372,341000
95765,2606,346375
95678,0,347225
95757,2877,349000
95843,2960,350000
95648,0,350000
95678,2172,350000
95678,2100,350000
95831,1795,351000
95762,0,356200
95661,2295,360000
95747,2577,367463
95747,0,375000
95690,1727,380000
95758,1485,380578
95608,1655,386222
95648,0,389000
95742,0,390000
95661,2049,395500
95742,0,396000
95757,2875,397000
95648,0,400000
95762,2199,400000
95747,0,412500
95818,1304,413500
95608,2334,415000
95603,2278,420454
95819,1493,425000
95682,0,425000
95648,0,433500
95747,0,438000
95630,2787,441000
95831,2824,445000
95630,3261,446000
95821,2053,450000
95661,2379,455000
95762,0,460000
95667,0,475000
95633,0,490000
95762,0,493000
95762,0,508000
95747,0,511000
95628,3173,525000
95762,0,533000
95864,1348,545000
95603,0,560000
95816,1252,575000
95630,3229,575000
95829,3863,598695
95747,0,600000
95677,0,600000
95746,2356,600000
95677,0,600000
95747,3579,610000
95762,0,622500
95762,0,680000
95762,0,879000
95693,4400,884790
95648,0,1551
95683,5822,2000
95828,1512,56950
95826,611,60000
95823,876,61000
95842,933,62000
95820,864,68566
95838,1011,70000
95815,1158,80000
95838,1092,85500
95833,956,92000
95824,1139,93600
95822,1058,95000
95838,1040,97750
95823,1354,104000
95660,1051,105000
95825,682,107666
95824,1161,109000
95838,1004,110000
95660,1229,110000
95832,1249,112500
95832,1161,114800
95823,1010,116000
95682,0,119000
95820,1462,121500
95828,1269,122000
95820,1188,123675
95838,1570,126854
95817,1093,127059
95828,962,128687
95823,1089,129500
95824,1127,130000
95822,1309,131750
95673,970,132000
95823,1144,134000
95670,1000,134000
95648,0,138000
95843,1206,142000
95825,1285,143012
95828,1543,145846
95691,884,147000
95817,1019,148750
95823,1392,150000
95842,924,150454
95823,1217,151087
95843,1670,157296
95832,1302,157500
95823,1488,160000
95660,1373,160000
95621,1381,161250
95823,1265,164000
95818,881,165000
95691,0,165000
95829,1608,165750
95621,1344,166000
95834,1202,169000
95648,1104,170000
95747,0,170000
95828,1859,170000
95832,1232,170000
95828,1638,170725
95831,1177,171750
95833,1582,172000
95823,904,173056
95758,1340,174000
95833,1204,174250
95624,1477,176850
95823,1497,179500
95628,960,185000
95648,0,188000
95834,1428,188700
95820,1039,189000
95628,1529,189000
95621,1892,189836
95838,1887,190000
95662,1294,191250
95832,1638,191675
95823,1677,195500
95621,1073,198000
95838,1231,200000
95758,1175,200000
95624,1416,200000
95691,0,200100
95835,1358,201528
95624,1609,204750
95842,1968,205000
95818,1089,205000
95608,1296,205900
95758,1189,207000
95815,795,207973
95747,1371,208250
95660,1310,208318
95632,1262,209347
95624,1740,211500
95843,1517,212000
95828,1450,213000
95624,1416,216000
95828,888,216021
95610,1882,219000
95757,1302,219794
95758,1418,220000
95678,0,220000
95608,1319,220000
95632,1770,220000
95842,1627,223000
95834,0,224000
95821,1040,224000
95660,960,224252
95682,0,224500
95662,1456,225000
95757,1450,228000
95648,1358,229027
95823,1329,229500
95823,1715,230000
95758,1262,230000
95829,2280,232425
95823,1477,234000
95610,1216,235000
95758,1685,235301
95762,1362,235738